TweetID,Username,Date,Retweets,Favorites,Text,Mentions,Permalink
824680887438553088,CarlCervantes15,2017-01-26 13:10,0,0,"no doubt, would feel bad abandoning that Nike life though lol",,https://twitter.com/CarlCervantes15/status/824680887438553088
824678305978740736,slamcity,2017-01-26 13:00,0,2,This Bruin Hyperfeel from Nike SB has amazing board feel . See these and more here https:// goo.gl/lLoIqO pic.twitter.com/glKxMhFEQE,,https://twitter.com/slamcity/status/824678305978740736
824674717068066818,0mattbrown0,2017-01-26 12:45,0,1,"White nike socks make me feel so athletic, the black ones make me feel like that pudgy kid that wore cut off shirts in middle school",,https://twitter.com/0mattbrown0/status/824674717068066818
824664249498677249,whitb_15,2017-01-26 12:04,0,0,I feel like I'm failing at life if I don't where Nike socks with my Nike shoes,,https://twitter.com/whitb_15/status/824664249498677249
824663083817766912,JamelleBlunt,2017-01-26 11:59,0,1,I love Jays but it's something about Nike Dunks that make me feel some type of way.. #SneakerThoughts,,https://twitter.com/JamelleBlunt/status/824663083817766912
824660246954209283,K_lolli07,2017-01-26 11:48,1,1,I feel like if Victoria secret and Nike did a collection I would buy the whole thing tbh,,https://twitter.com/K_lolli07/status/824660246954209283
824656591022682112,sheslocd,2017-01-26 11:33,0,0,want some new Nike gear but don't feel like paying for it,,https://twitter.com/sheslocd/status/824656591022682112
824654724376985600,alissa_ann19,2017-01-26 11:26,0,8,I feel so bad wearing Nike ... Under Armour... AND Adidas at the same time,,https://twitter.com/alissa_ann19/status/824654724376985600
824654093935345664,Nike_Swooshes23,2017-01-26 11:23,1,2,Wow I feel like i got hit by a truck,,https://twitter.com/Nike_Swooshes23/status/824654093935345664
824653815005712384,Dom_nucci,2017-01-26 11:22,0,0,Broke out my new #Nike #airmax today and my feet feel like they're on cloud 9,,https://twitter.com/Dom_nucci/status/824653815005712384
824646902633402372,ANPYT_TheArtist,2017-01-26 10:55,0,0,"Low key I want a whole Nike sweatsuit, but I feel like a fraud because I don't work out. Lol",,https://twitter.com/ANPYT_TheArtist/status/824646902633402372
824645529321832450,krgr_nike,2017-01-26 10:49,0,0,man I feel like she really trying to convince herself,,https://twitter.com/krgr_nike/status/824645529321832450
824639689437110272,Bleed_Nike,2017-01-26 10:26,0,0,I can feel it,,https://twitter.com/Bleed_Nike/status/824639689437110272
824637702372876288,iam_nike_0130,2017-01-26 10:18,0,18,feel ko na nasa pinas ako dahil sa inet pic.twitter.com/QQKsmIa9yU,,https://twitter.com/iam_nike_0130/status/824637702372876288
824626697882333184,DoubleDA_NIKE,2017-01-26 09:35,0,0,Your desire to feel secure may be projected onto a close relat... More for Cancer http:// bit.ly/yk3b9m,,https://twitter.com/DoubleDA_NIKE/status/824626697882333184
